SYMBOL,NAME,EXCHANGE
500820:ASIANPAINT,ASIAN PAINTS LTD.,BSE
500825:BRITANNIA,BRITANNIA INDUSTRIES LTD.,BSE
500830:COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,BSE
500840:EIHOTEL,EIH LTD.,BSE
500850:INDHOTEL,INDIAN HOTELS CO.LTD.,BSE
500870:CASTROLIND,CASTROL INDIA LTD.,BSE
500875:ITC,ITC LTD.,BSE
500877:APOLLOTYRE,APOLLO TYRES LTD.,BSE
500878:CEATLTD,CEAT LTD.,BSE
500890:MODIRUBBER,MODI RUBBER LTD.,BSE
500940:FINOLEXIND,FINOLEX INDUSTRIES LTD.,BSE
500945:VALUEIND,VALUE INDUSTRIES LTD.,BSE
501061:SBBJ,STATE BANK OF BIKANER &amp; JAIPUR,BSE
501110:SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,BSE
501111:ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,BSE
501144:PEOPLIN,PEOPLES INVESTMENTS LTD.,BSE
501148:DSINVEST,DALAL STREET INVESTMENTS LTD.,BSE
501150:CENTRUM,CENTRUM CAPITAL LTD.,BSE
501151:KARTKIN,KARTIK INVESTMENTS TRUST LTD.,BSE
501154:ROSEI,ROSE INVESTMENTS LTD.,BSE
501178:ZSURYODI,SURYODAYA INVESTMENT &amp; TRADING COMPANY LTD.,BSE
501179:OSCAR,OSCAR INVESTMENTS LTD.,BSE
501233:BIDL,Bhagyodaya Infrastructure Development Ltd,BSE
501242:TCIFINANCE,TCI FINANCE LTD.,BSE
501261:KRATOSENER,KRATOS ENERGY &amp; INFRASTRUCTURE LTD.,BSE
501270:ZCHANAIN,CHANAKYA INVESTMENTS LTD.,BSE
501295:IITL,INDUSTRIAL INVESTMENT TRUST LTD.,BSE
501298:INDPRUD,INDUSTRIAL &amp; PRUDENTIAL INVESTMENTS CO.LTD.,BSE
501301:TATAINVEST,TATA INVESTMENT CORPORATION LTD.,BSE
501311:JAYBHCR,JAYABHARAT CREDIT LTD.-$,BSE
501343:MOTOGENFIN,MOTOR &amp; GENERAL FINANCE LTD.,BSE
501351:RAPIDIN,RAPID INVESTMENTS LTD.,BSE
501370:WALCHPF,WALCHAND PEOPLEFIRST LTD.,BSE
501386:ZSWASTSA,SWASTIK SAFE DEPOSIT &amp; INVESTMENTS LTD.,BSE
501391:WHBRADY,W.H.BRADY &amp; CO.LTD.,BSE
501421:TECHNVISN,TECHNVISION VENTURES LTD.,BSE
501423:SHAILY,SHAILY ENGINEERING PLASTICS LTD.,BSE
501425:BBTC,BOMBAY BURMAH TRADING CORP.LTD.,BSE
501430:BOMBCYC,BOMBAY CYCLE &amp; MOTOR AGENCY LTD.,BSE
501455:GREAVESCOT,GREAVES COTTON LTD.,BSE
501471:MACK,MACK TRADING CO.LTD.,BSE
501473:MALTC,MALABAR TRADING CO.LTD.,BSE
501477:MULLER,MULLER &amp; PHIPPS (INDIA) LTD.,BSE
501479:ZNEWSAGA,NEW SAGAR TRADING CO.LTD.,BSE
501630:ANANDPROJ,Anand Projects Ltd,BSE
501700:INDIANVSH,INDIANIVESH LTD.,BSE
501831:COASTCORP,COASTAL CORPORATION LTD.,BSE
501833:CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,BSE
501848:GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,BSE
501945:DHENUBUILD,DHENU BUILDCON INFRA LTD.,BSE
502015:ASSOSTNB,ASSOCIATED STONE INDUSTRIES (KOTAH) LTD.,BSE
502090:SAGCEM,SAGAR CEMENTS LTD.-$,BSE
502137:DECCANCE,DECCAN CEMENTS LTD.-$,BSE
502150:KLYNCEM,KALYANPUR CEMENTS LTD.,BSE
502157:MANGLMCEM,MANGALAM CEMENT LTD.,BSE
502165:OCL,OCL INDIA LTD.,BSE
502168:NCLIND,NCL INDUSTRIES LTD.-$,BSE
502175:SAURASHCEM,SAURASHTRA CEMENT LTD.,BSE
502180:SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,BSE
502216:BOMBPOT,BOMBAY POTTERIES &amp; TILES LTD.,BSE
502219:BOROSIL,BOROSIL GLASS WORKS LTD.,BSE
502250:MARATHR,MARATHWADA REFRACTORIES LTD.,BSE
502271:RASSIREF,RAASI REFRACTORIES LTD.-$,BSE
502281:TRIVENIGQ,TRIVENI GLASS LTD.-$,BSE
502330:IPAPPM,International Paper APPM Limited,BSE
502355:BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,BSE
502405:MYSPAPE,MYSORE PAPER MILLS LTD.,BSE
502407:NATHPULP,NATH PULP &amp; PAPER MILLS LTD.,BSE
502420:ORIENTPPR,ORIENT PAPER &amp; INDUSTRIES LTD.,BSE
502445:CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,BSE
502448:ROLLT,ROLLATAINERS LTD.,BSE
502450:SESHAPAPER,SESHASAYEE PAPER &amp; BOARDS LTD.,BSE
502460:SOLIDCO,SOLID CONTAINERS LTD.,BSE
502465:SPECIAPP,SPECIALITY PAPERS LTD.,BSE
502473:RELSIND,RELSON INDIA LTD.,BSE
502563:SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.,BSE
502587:RAMAPULP,RAMA PULP &amp; PAPERS LTD.,BSE
502589:VAPIPPR,VAPI PAPER MILLS LTD.,BSE
502742:SINTEX,SINTEX INDUSTRIES LTD.,BSE
502761:BLUBLND-B,BLUE BLENDS (INDIA) LTD.,BSE
502820:DCM,DCM LTD.,BSE
502850:ZGAEKWAR,GAEKWAR MILLS LTD.,BSE
502865:FORBESCO,FORBES &amp; COMPANY LTD.-$,BSE
502873:HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,BSE
502893:UNITEDINT,UNITED INTERACTIVE LTD.,BSE
502901:JAMSHRI,JAMSHRI RANJITSINGHJI SPG. &amp; WVG. MILLS CO.LTD.-$,BSE
502933:KATRSPG,KATARE SPINNING MILLS LTD.,BSE
502937:KESORAMIND,KESORAM INDUSTRIES LTD.,BSE
502958:LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$,BSE
502986:VTL,VARDHMAN TEXTILES LTD.,BSE
502995:MALWACOTT,MALWA COTTON SPINNING MILLS LTD.,BSE
503015:MODERN,MODERN INDIA LTD.-$,BSE
503031:PENINLAND,PENINSULA LAND LTD.,BSE
503092:PASUSPG,PASUPATI SPG.&amp; WVG.MILLS LTD.,BSE
503100:PHOENIXLTD,The Phoenix Mills Ltd,BSE
503101:MARATHON,MARATHON NEXTGEN REALTY LTD.,BSE
503127:RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.,BSE
503162:RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,BSE
503169:RUBYMILLS,RUBY MILLS LTD.,BSE
503205:SHREERAM,SHREE RAM URBAN INFRASTRUCTURE LTD.,BSE
503229:SIMPLXREA,SIMPLEX REALTY LTD.,BSE
503310:SWANENERGY,SWAN ENERGY LTD.,BSE
503349:VICTMILL,VICTORIA MILLS LTD.,BSE
503622:ZSVTRADI,S.V.TRADING &amp; AGENCIES LTD.,BSE
503624:ZSVARAJT,SVARAJ TRADING &amp; AGENCIES LTD.,BSE
503626:KSHITIJ,KSHITIZ INVESTMENT LTD.,BSE
503635:SALSAIN,SHREE SALASAR INVESTMENT LTD.,BSE
503637:DHANLEELA,DHANLEELA INVESTMENTS &amp; TRADING COMPANY LTD.,BSE
503639:INDSOYA,INDSOYA LTD.,BSE
503657:VEERENRGY,VEER ENERGY &amp; INFRASTRUCTURE LTD.,BSE
503659:SW1,SW Investments Ltd,BSE
503663:TILAKFIN,Tilak Finance Limited,BSE
503669:KKFIN,K K Fincorp Limited,BSE
503671:UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.,BSE
503675:WAGEND,Wagend Infra Venture Limited,BSE
503681:ELCIDIN,ELCID INVESTMENTS LTD.,BSE
